DrugBank_id,Uniprot_id
DB05294,O15197
DB05294,P54764
DB05294,P29322
DB05294,Q9UF33
DB12307,Q02763
DB05294,Q15375
DB05294,P54762
DB05928,P22607
DB06195,Q00535
DB06217,P48544
DB06217,P48549
DB06589,P11362
DB06595,P05129
DB06595,Q15139
DB06595,Q05655
DB06595,P41743
DB06595,P05771
DB06595,Q05513
DB06595,Q02156
DB06595,Q04759
DB13036,P21731
DB07232,Q9Y6F1
DB14975,P68871
DB08827,P07237
DB11986,Q9UM73
DB12307,P08581
DB08865,P06748
DB09063,P06748
DB15091,O60674
DB13170,P25092
DB15091,P29597
DB15091,P52333
DB14783,Q14145
DB09073,P24385
DB09079,P22455
DB12340,Q07817
DB14507,P49840
DB14509,P49840
